transaction_id,date,customer_id,product_id,quantity,unit_price,region,payment_method,total_amount,status,customer_email
TXN000001,2024-01-01,8270,PROD005,45,340.96,West,Credit Card,15343.2,completed,customer0@email.com
TXN000002,2024-01-02,1860,PROD003,2,31.98,East,PayPal,63.96,cancelled,customer1@email.com
TXN000003,2024-01-03,6390,PROD002,41,230.79,South,Credit Card,9462.39,completed,customer2@email.com
TXN000004,2024-01-04,6191,PROD002,21,465.42,East,Credit Card,9773.82,completed,customer3@email.com
TXN000005,2024-01-05,6734,PROD003,2,90.95,South,Credit Card,181.9,completed,customer4@email.com
TXN000006,2024-01-06,7265,PROD002,27,201.04,South,PayPal,5428.08,completed,customer5@email.com
TXN000007,2024-01-07,1466,PROD004,9,367.63,West,Debit Card,3308.67,completed,customer6@email.com
TXN000008,2024-01-08,5426,PROD001,1,442.31,North,Debit Card,442.31,completed,customer7@email.com
TXN000009,2024-01-09,6578,PROD004,11,338.76,North,Debit Card,3726.36,cancelled,customer8@email.com
TXN000010,2024-01-10,9322,PROD002,3,136.5,West,Credit Card,409.5,completed,customer9@email.com
TXN000011,2024-01-11,2685,PROD005,23,340.56,East,PayPal,7832.88,pending,customer10@email.com
TXN000012,2024-01-12,1769,PROD001,26,155.4,West,Credit Card,4040.4,completed,customer11@email.com
TXN000013,2024-01-13,7949,PROD001,4,362.03,South,Debit Card,1448.12,completed,customer12@email.com
TXN000014,2024-01-14,3433,PROD003,18,477.48,North,Debit Card,8594.64,completed,customer13@email.com
TXN000015,2024-01-15,6311,PROD003,6,363.48,West,PayPal,2180.88,completed,customer14@email.com
TXN000016,2024-01-16,6051,PROD005,35,432.81,East,Credit Card,15148.35,pending,customer15@email.com
TXN000017,2024-01-17,7420,PROD001,22,11.03,West,Cash,242.66,completed,customer16@email.com
TXN000018,2024-01-18,2184,PROD005,43,361.61,North,Cash,15549.23,completed,customer17@email.com
TXN000019,2024-01-19,5555,PROD003,15,416.5,West,Debit Card,6247.5,completed,customer18@email.com
TXN000020,2024-01-20,4385,PROD003,22,29.87,West,PayPal,657.14,completed,invalid_email_19
TXN000021,2024-01-21,7396,PROD001,37,437.08,North,Credit Card,16171.96,completed,customer20@email.com
TXN000022,2024-01-22,9666,PROD004,42,135.78,South,Credit Card,5702.76,completed,customer21@email.com
TXN000023,2024-01-23,3558,PROD002,12,335.99,South,Debit Card,4031.88,completed,customer22@email.com
TXN000024,2024-01-24,8849,PROD003,47,402.17,North,Debit Card,18901.99,completed,customer23@email.com
TXN000025,2024-01-25,3047,PROD003,49,334.71,West,Credit Card,16400.79,completed,customer24@email.com
TXN000026,2024-01-26,3747,PROD004,42,55.22,North,Credit Card,2319.24,completed,customer25@email.com
TXN000027,2024-01-27,1189,PROD004,38,302.2,South,Debit Card,11483.6,completed,customer26@email.com
TXN000028,2024-01-28,3734,PROD005,18,279.3,East,Credit Card,5027.4,pending,customer27@email.com
TXN000029,2024-01-29,4005,PROD005,45,451.16,West,Cash,20302.2,completed,customer28@email.com
TXN000030,2024-01-30,5658,PROD002,35,208.08,South,Debit Card,7282.8,completed,customer29@email.com
TXN000031,2024-01-31,2899,PROD002,30,167.33,West,Credit Card,5019.9,completed,customer30@email.com
TXN000032,2024-02-01,8734,PROD001,24,377.43,North,Debit Card,9058.32,completed,customer31@email.com
TXN000033,2024-02-02,2267,PROD005,42,212.21,East,PayPal,8912.82,completed,customer32@email.com
TXN000034,2024-02-03,2528,PROD003,30,326.59,North,Debit Card,9797.7,completed,customer33@email.com
TXN000035,2024-02-04,4556,PROD005,14,326.76,East,Debit Card,4574.64,completed,customer34@email.com
TXN000036,2024-02-05,4890,PROD003,6,445.14,West,PayPal,2670.84,completed,customer35@email.com
TXN000037,2024-02-06,9838,PROD004,3,303.36,West,Cash,910.08,pending,customer36@email.com
TXN000038,2024-02-07,6393,PROD005,16,256.06,North,Credit Card,4096.96,completed,customer37@email.com
TXN000039,2024-02-08,9792,PROD004,7,78.05,East,PayPal,546.35,completed,customer38@email.com
TXN000040,2024-02-09,9433,PROD002,14,66.71,East,Debit Card,933.94,completed,customer39@email.com
TXN000041,2024-02-10,8513,PROD002,9,85.62,West,Credit Card,770.58,completed,customer40@email.com
TXN000042,2024-02-11,3612,PROD001,15,94.21,North,PayPal,1413.15,pending,customer41@email.com
TXN000043,2024-02-12,8041,PROD005,21,322.56,East,Credit Card,6773.76,completed,customer42@email.com
TXN000044,2024-02-13,7235,PROD004,35,373.08,West,Credit Card,13057.8,completed,customer43@email.com
TXN000045,2024-02-14,6486,PROD003,2,269.7,South,PayPal,539.4,completed,customer44@email.com
TXN000046,2024-02-15,8099,PROD002,27,416.22,North,Credit Card,11237.94,completed,customer45@email.com
TXN000047,2024-02-16,1775,PROD002,2,495.72,South,Cash,991.44,completed,customer46@email.com
TXN000048,2024-02-17,9226,PROD003,35,411.81,North,PayPal,14413.35,completed,customer47@email.com
TXN000049,2024-02-18,4152,PROD004,18,350.49,West,Cash,6308.82,completed,customer48@email.com
TXN000050,2024-02-19,2585,PROD004,14,270.92,East,Debit Card,3792.88,completed,customer49@email.com
TXN000051,2024-02-20,4943,PROD005,20,229.94,East,Credit Card,4598.8,completed,customer50@email.com
TXN000052,2024-02-21,8555,PROD005,18,51.35,East,Debit Card,924.3,completed,customer51@email.com
TXN000053,2024-02-22,4073,PROD001,10,205.69,North,Debit Card,2056.9,completed,customer52@email.com
TXN000054,2024-02-23,2021,PROD002,25,455.97,West,Credit Card,11399.25,completed,customer53@email.com
TXN000055,2024-02-24,4843,PROD005,2,405.93,South,PayPal,811.86,completed,customer54@email.com
TXN000056,2024-02-25,8989,PROD004,25,115.87,West,Credit Card,2896.75,completed,customer55@email.com
TXN000057,2024-02-26,7873,PROD003,33,238.64,South,Debit Card,7875.12,completed,customer56@email.com
TXN000058,2024-02-27,6675,PROD004,36,410.19,North,Debit Card,14766.84,completed,customer57@email.com
TXN000059,2024-02-28,1161,PROD002,31,43.02,North,PayPal,1333.62,completed,customer58@email.com
TXN000060,2024-02-29,5297,PROD004,14,199.82,South,Credit Card,2797.48,completed,customer59@email.com
TXN000061,2024-03-01,1995,PROD001,1,427.4,South,Debit Card,427.4,completed,customer60@email.com
TXN000062,2024-03-02,8629,PROD002,46,207.91,South,Cash,9563.86,pending,customer61@email.com
TXN000063,2024-03-03,2016,PROD003,16,48.03,West,Debit Card,768.48,cancelled,customer62@email.com
TXN000064,2024-03-04,8869,PROD001,46,275.84,South,Debit Card,12688.64,pending,customer63@email.com
TXN000065,2024-03-05,7439,PROD002,3,432.25,North,PayPal,1296.75,completed,customer64@email.com
TXN000066,2024-03-06,8892,PROD003,35,299.24,North,Cash,10473.4,completed,customer65@email.com
TXN000067,2024-03-07,7863,PROD001,41,120.88,East,Debit Card,4956.08,completed,customer66@email.com
TXN000068,2024-03-08,8916,PROD001,6,198.28,South,Debit Card,1189.68,completed,customer67@email.com
TXN000069,2024-03-09,9529,PROD002,25,230.56,West,Cash,5764.0,completed,customer68@email.com
TXN000070,2024-03-10,1878,PROD005,13,293.84,West,Credit Card,3819.92,completed,customer69@email.com
TXN000071,2024-03-11,5887,PROD001,34,382.08,West,Credit Card,12990.72,completed,customer70@email.com
TXN000072,2024-03-12,5859,PROD001,8,58.45,East,Debit Card,467.6,cancelled,customer71@email.com
TXN000073,2024-03-13,7331,PROD003,21,445.93,North,Debit Card,9364.53,completed,customer72@email.com
TXN000074,2024-03-14,9571,PROD004,34,16.03,West,Credit Card,545.02,completed,customer73@email.com
TXN000075,2024-03-15,9684,PROD002,4,191.33,North,PayPal,765.32,completed,customer74@email.com
TXN000076,2024-03-16,8208,PROD002,25,23.44,East,Cash,586.0,pending,customer75@email.com
TXN000077,2024-03-17,6276,PROD005,15,202.56,South,Cash,3038.4,completed,customer76@email.com
TXN000078,2024-03-18,3062,PROD005,4,267.65,South,PayPal,1070.6,completed,customer77@email.com
TXN000079,2024-03-19,1064,PROD002,45,260.72,South,PayPal,11732.4,pending,customer78@email.com
TXN000080,2024-03-20,9006,PROD005,12,91.16,West,PayPal,1093.92,completed,customer79@email.com
TXN000081,2024-03-21,3568,PROD003,32,326.41,South,PayPal,10445.12,completed,customer80@email.com
TXN000082,2024-03-22,6463,PROD002,32,31.94,West,PayPal,1022.08,completed,customer81@email.com
TXN000083,2024-03-23,3027,PROD005,28,383.33,East,PayPal,10733.24,completed,customer82@email.com
TXN000084,2024-03-24,3695,PROD002,13,473.86,East,Cash,6160.18,completed,customer83@email.com
TXN000085,2024-03-25,6258,PROD004,31,176.49,West,PayPal,5471.19,completed,customer84@email.com
TXN000086,2024-03-26,6618,PROD001,14,263.45,North,Credit Card,3688.3,pending,customer85@email.com
TXN000087,2024-03-27,7736,PROD002,20,195.67,South,PayPal,3913.4,cancelled,customer86@email.com
TXN000088,2024-03-28,1391,PROD001,18,13.29,South,PayPal,239.22,completed,customer87@email.com
TXN000089,2024-03-29,6892,PROD005,29,199.08,South,Cash,5773.32,completed,customer88@email.com
TXN000090,2024-03-30,4561,PROD001,6,397.94,West,Cash,2387.64,completed,customer89@email.com
TXN000091,2024-03-31,7184,PROD002,32,302.03,East,PayPal,9664.96,completed,customer90@email.com
TXN000092,2024-04-01,4099,PROD004,29,59.62,South,Cash,1728.98,completed,customer91@email.com
TXN000093,2024-04-02,7278,PROD005,43,425.1,East,Debit Card,18279.3,completed,customer92@email.com
TXN000094,2024-04-03,9392,PROD002,2,270.23,South,Cash,540.46,completed,customer93@email.com
TXN000095,2024-04-04,4104,PROD005,23,422.44,South,Cash,9716.12,completed,customer94@email.com
TXN000096,2024-04-05,8215,PROD003,19,294.31,West,Cash,5591.89,pending,customer95@email.com
TXN000097,2024-04-06,3454,PROD001,31,284.25,North,Cash,8811.75,completed,customer96@email.com
TXN000098,2024-04-07,9996,PROD003,5,61.58,West,Credit Card,307.9,completed,customer97@email.com
TXN000099,2024-04-08,3731,PROD002,19,92.01,South,Credit Card,1748.19,completed,customer98@email.com
TXN000100,2024-04-09,9154,PROD004,34,486.29,South,Credit Card,16533.86,completed,customer99@email.com
TXN000101,2024-04-10,6056,PROD005,10,121.96,North,PayPal,1219.6,completed,invalid_email_100
TXN000102,2024-04-11,9110,PROD001,25,488.95,East,PayPal,12223.75,completed,customer101@email.com
TXN000103,2024-04-12,4840,PROD005,2,270.64,East,Debit Card,541.28,completed,customer102@email.com
TXN000104,2024-04-13,2028,PROD002,11,76.54,South,Credit Card,841.94,completed,customer103@email.com
TXN000105,2024-04-14,8385,PROD005,31,58.66,East,PayPal,1818.46,completed,customer104@email.com
TXN000106,2024-04-15,1502,PROD001,15,112.34,South,Cash,1685.1,completed,customer105@email.com
TXN000107,2024-04-16,7910,PROD002,9,463.56,North,Cash,4172.04,completed,customer106@email.com
TXN000108,2024-04-17,7938,PROD005,23,212.93,North,Credit Card,4897.39,cancelled,customer107@email.com
TXN000109,2024-04-18,5488,PROD004,19,203.76,South,Debit Card,3871.44,completed,customer108@email.com
TXN000110,2024-04-19,1206,PROD002,9,163.47,North,Debit Card,1471.23,cancelled,customer109@email.com
TXN000111,2024-04-20,6134,PROD002,35,82.06,West,Cash,2872.1,completed,customer110@email.com
TXN000112,2024-04-21,6977,PROD004,21,249.05,West,Debit Card,5230.05,cancelled,customer111@email.com
TXN000113,2024-04-22,8721,PROD003,9,73.72,North,Credit Card,663.48,completed,customer112@email.com
TXN000114,2024-04-23,8035,PROD001,28,419.39,South,Cash,11742.92,completed,customer113@email.com
TXN000115,2024-04-24,2484,PROD003,46,191.49,South,PayPal,8808.54,completed,customer114@email.com
TXN000116,2024-04-25,8858,PROD005,7,193.65,North,PayPal,1355.55,completed,customer115@email.com
TXN000117,2024-04-26,1863,PROD004,16,242.26,East,Debit Card,3876.16,completed,customer116@email.com
TXN000118,2024-04-27,3790,PROD003,16,227.62,West,Cash,3641.92,completed,customer117@email.com
TXN000119,2024-04-28,8408,PROD002,33,497.48,East,Cash,16416.84,completed,customer118@email.com
TXN000120,2024-04-29,9755,PROD005,4,277.24,South,PayPal,1108.96,completed,customer119@email.com
